rank_model,name,team,adp,adp_rank,tier,n_seasons,n_games,mu_hat,n_eff,m_deep,tau2,B,theta_star,post_SD,arm,board_value,delta_rank_vs_adp,thin_data_flag,team_2025,g_2025,ppg_2025,targets,tgt_share_2025,ay_share_2025,snap_share_2025,rz_tgt_share_2025,i10_tgt_share_2025,rec_tds,team_vacated_share_2026,position,carries,carry_share_full,touches_pg,gl10_carries,sig,pi,value,view
55,Rashid Shaheed,SEA,119.0,55,vet,4,43,11.045492063492064,2.6470588235294117,10.169649826735766,10.782394134943546,0.6018310388772187,10.518383020252475,2.5473867911679027,m_deep (market),10.169649826735766,0,,NO,18.0,8.7,92.0,0.1628318584070796,0.2199707541257572,0.6067125645438899,0.173076923076923,0.1538461538461538,2.0,0.0879120879120879,WR,,,,,6.489179463816704,10.169649826735766,10.169649826735766,0.0
56,Matthew Golden,GB,119.9,56,soph,1,12,5.8,1.0,10.169649826735766,9.389576648040723,0.8088492921551105,9.334388169320926,2.7558578383878753,m_deep (market),10.169649826735766,0,single season: n_eff = 1,GB,14.0,5.0,44.0,0.0956521739130434,0.1288816250291851,0.5292740046838408,0.0298507462686567,0.0,0.0,0.4021739130434782,WR,,,,,7.594752425403893,10.169649826735766,10.169649826735766,0.0
57,Jalen Coker,CAR,126.1,57,vet,2,19,9.254074074074074,1.8,10.169649826735766,10.782394134943546,0.6897097655400394,9.885555611776514,2.7270354839591304,m_deep (market),10.169649826735766,0,,CAR,11.0,8.218181818181819,43.0,0.0895833333333333,0.1260869565217391,0.6774691358024691,0.0428571428571428,0.074074074074074,3.0,0.1583333333333333,WR,,,,,7.436722530772209,10.169649826735766,10.169649826735764,-1.7763568394002505e-15
58,KC Concepcion,CLE,129.2,58,rookie,0,0,,0.0,10.169649826735766,11.422710913543565,1.0,10.169649826735766,3.3797501259033287,m_deep (market),10.169649826735766,0,no NFL rows: full shrinkage to market,,,,,,,,,,,0.1781609195402299,WR,,,,,11.422710913543566,10.169649826735766,10.169649826735766,0.0
59,Calvin Ridley,TEN,130.2,59,vet,7,87,10.44904052834523,2.6458381583213675,10.169649826735766,10.782394134943546,0.6019415623969713,10.280863652899242,2.547620688400818,m_deep (market),10.169649826735766,0,,TEN,7.0,6.757142857142857,36.0,0.0679245283018867,0.1128550074738415,0.5813953488372093,0.04,0.0434782608695652,0.0,0.3094339622641509,WR,,,,,6.490371171967857,10.169649826735766,10.169649826735766,0.0
60,Jerry Jeudy,CLE,133.6,60,vet,6,89,9.693316437686187,2.9076923076923076,10.169649826735766,10.782394134943546,0.579126763028035,9.969173851408645,2.4988743491945176,m_deep (market),10.169649826735766,0,,CLE,17.0,7.1000000000000005,106.0,0.2030651340996168,0.3402906208718626,0.850415512465374,0.1666666666666666,0.1666666666666666,2.0,0.1781609195402299,WR,,,,,6.244373013062324,10.169649826735766,10.169649826735766,0.0
1,Jahmyr Gibbs,DET,1.6,1,vet,3,49,20.73764705882353,2.3333333333333335,19.40125646412411,11.74653700580229,0.5912177543223429,19.94754921252784,2.6352914885520216,m_deep (market),19.40125646412411,0,,DET,17.0,21.58235294117647,94.0,0.1709090909090909,,0.6706096451319381,,,,,RB,243.0,0.5497737556561086,18.823529411764707,22.0,6.94476122963473,19.40125646412411,20.20025129282482,0.7989948287007103
2,Bijan Robinson,ATL,2.0,2,vet,3,50,20.4031512605042,2.3333333333333335,19.40125646412411,11.74653700580229,0.5912177543223429,19.810813268921123,2.6352914885520216,m_deep (market),19.40125646412411,0,,ATL,17.0,21.811764705882354,103.0,0.1984585741811175,,0.7846715328467153,,,,,RB,287.0,0.6016771488469602,21.529411764705884,17.0,6.94476122963473,19.40125646412411,19.40125646412411,0.0
3,Christian McCaffrey,SF,5.3,3,vet,9,112,21.040844255510425,2.9883040935672516,18.801468895250412,11.74653700580229,0.5303610067165963,19.853166885026585,2.4959778027520705,m_deep (market),18.801468895250412,0,,SF,17.0,24.50588235294118,129.0,0.2345454545454545,,0.8314005352363961,,,,,RB,311.0,0.6465696465696466,24.294117647058822,37.0,6.229905191831054,18.801468895250412,19.00117511620033,0.19970622094991697
4,Jonathan Taylor,IND,7.5,4,vet,6,83,19.129223244853495,2.9076923076923076,16.783941579810566,11.74653700580229,0.5371662970407058,17.869416977324924,2.5119402434091533,m_deep (market),16.783941579810566,0,,IND,17.0,21.311764705882354,55.0,0.1037735849056603,,0.8236940298507462,,,,,RB,323.0,0.7307692307692307,21.705882352941178,39.0,6.309843786458437,16.783941579810566,17.181970789905282,0.39802921009471603
5,De'Von Achane,MIA,9.4,5,vet,3,44,19.045530939648582,2.3333333333333335,16.783941579810566,11.74653700580229,0.5912177543223429,17.708439157125845,2.6352914885520216,m_deep (market),16.783941579810566,0,,MIA,16.0,20.175,85.0,0.1839826839826839,,0.7502702702702703,,,,,RB,238.0,0.5509259259259259,19.0625,11.0,6.94476122963473,16.783941579810566,16.391970789905283,-0.3919707899052831
6,Chase Brown,CIN,12.2,6,vet,3,40,15.10171068427371,2.3333333333333335,16.783941579810566,11.74653700580229,0.5912177543223429,16.096275456584674,2.6352914885520216,m_deep (market),16.783941579810566,0,,CIN,17.0,16.623529411764707,88.0,0.1447368421052631,,0.6642664266426642,,,,,RB,232.0,0.6089238845144357,17.705882352941178,18.0,6.94476122963473,16.783941579810566,16.78394157981057,3.552713678800501e-15
7,Ashton Jeanty,LV,14.1,7,soph,1,17,14.41764705882353,1.0,15.781450991037447,15.4867051194987,0.7388563078845868,15.425302196857588,3.38266902990673,m_deep (market),15.781450991037447,0,single season: n_eff = 1,LV,17.0,14.41764705882353,73.0,0.1477732793522267,,0.7764350453172205,,,,,RB,266.0,0.7208672086720868,18.88235294117647,16.0,11.442449765890137,15.781450991037447,15.280725495518725,-0.5007254955187221
8,James Cook III,BUF,15.1,8,vet,4,64,16.26278711484594,2.6470588235294117,15.48991409805029,11.74653700580229,0.5604159919425199,15.829656716492796,2.5657254701148773,m_deep (market),15.48991409805029,0,,BUF,17.0,17.776470588235295,40.0,0.0835073068893528,,0.5644876325088339,,,,,RB,309.0,0.5648994515539305,20.11764705882353,26.0,6.582947187996208,15.48991409805029,15.489914098050289,-1.7763568394002505e-15
9,Derrick Henry,BAL,16.1,9,vet,10,152,17.48787907538382,2.994146341463414,15.48991409805029,11.74653700580229,0.5298744960616499,16.42920838987039,2.494832735158614,m_deep (market),15.48991409805029,0,,BAL,17.0,16.441176470588236,21.0,0.0515970515970515,,0.5473372781065089,,,,,RB,307.0,0.6055226824457594,18.941176470588236,40.0,6.224190376419012,15.48991409805029,15.48991409805029,0.0
10,Saquon Barkley,PHI,18.7,10,vet,8,106,16.696799719887956,2.9766536964980546,15.48991409805029,11.74653700580229,0.5313338605156411,16.05554052323613,2.4982659696242853,m_deep (market),15.48991409805029,0,,PHI,16.0,14.51875,50.0,0.1077586206896551,,0.7808080808080808,,,,,RB,280.0,0.5857740585774058,19.8125,24.0,6.24133285498277,15.48991409805029,15.739957049025145,0.25004295097485496
11,Jeremiyah Love,ARI,25.6,13,rookie,0,0,,0.0,14.434106455309395,13.882089022740637,1.0,14.434106455309395,3.725867553032533,m_deep (market),14.434106455309395,2,no NFL rows: full shrinkage to market,,,,,,,,,,,,RB,,,,,13.882089022740637,14.434106455309395,13.917053227654698,-0.5170532276546975
12,Kenneth Walker,KC,26.5,14,vet,4,58,13.08556387403446,2.6470588235294117,14.434106455309395,11.74653700580229,0.5604159919425199,13.84130870239638,2.5657254701148773,m_deep (market),14.434106455309395,2,,SEA,17.0,11.288235294117648,36.0,0.0791208791208791,,0.4680451127819549,,,,,RB,221.0,0.4358974358974359,14.823529411764708,10.0,6.582947187996208,14.434106455309395,14.782053227654698,0.3479467723453027
13,Josh Jacobs,GB,24.6,12,vet,7,105,16.11477060842508,2.953488372093023,14.434106455309395,11.74653700580229,0.5332788983394326,15.218507880372972,2.5028344559234483,m_deep (market),14.434106455309395,-1,,GB,15.0,15.806666666666668,44.0,0.0956521739130434,,0.5931477516059958,,,,,RB,234.0,0.4756097560975609,18.0,30.0,6.264180313757624,14.434106455309395,14.333285164247517,-0.10082129106187843
14,Omarion Hampton,LAC,19.8,11,soph,1,9,15.077777777777776,1.0,14.434106455309395,15.4867051194987,0.7388563078845868,14.6021971609676,3.38266902990673,m_deep (market),14.434106455309395,-3,single season: n_eff = 1,LAC,9.0,15.077777777777776,35.0,0.0643382352941176,,0.6336633663366337,,,,,RB,124.0,0.2660944206008583,17.333333333333332,15.0,11.442449765890137,14.434106455309395,14.434106455309395,0.0
15,Breece Hall,NYJ,28.3,15,vet,4,56,14.311621848739495,2.6470588235294117,13.416324058711414,11.74653700580229,0.5604159919425199,13.809882649656965,2.5657254701148773,m_deep (market),13.416324058711414,0,,NYJ,16.0,12.97875,48.0,0.1016949152542373,,0.64,,,,,RB,243.0,0.5328947368421053,17.4375,10.0,6.582947187996208,13.416324058711414,13.416324058711414,0.0
16,Cam Skattebo,NYG,30.6,16,soph,1,8,15.9625,1.0,13.416324058711414,15.4867051194987,0.7388563078845868,14.081241844794953,3.38266902990673,m_deep (market),13.416324058711414,0,single season: n_eff = 1,NYG,8.0,15.9625,32.0,0.0636182902584493,,0.5383211678832117,,,,,RB,101.0,0.197651663405088,15.625,12.0,11.442449765890137,13.416324058711414,13.91816202935571,0.5018379706442957
17,Kyren Williams,LAR,32.2,17,vet,4,53,15.882892156862743,2.6470588235294117,13.416324058711414,11.74653700580229,0.5604159919425199,14.500587949443492,2.5657254701148773,m_deep (market),13.416324058711414,0,,LA,17.0,15.488235294117649,50.0,0.0860585197934595,,0.6801762114537445,,,,,RB,259.0,0.556989247311828,17.352941176470587,30.0,6.582947187996208,13.416324058711414,13.416324058711414,0.0
18,Javonte Williams,DAL,36.7,18,vet,5,70,12.740607210626187,2.8181818181818183,13.416324058711414,11.74653700580229,0.5449304038355045,13.108825865531724,2.5300286864461716,m_deep (market),13.416324058711414,0,,DAL,16.0,15.175,51.0,0.0840197693574958,,0.6799292661361627,,,,,RB,252.0,0.5419354838709678,17.9375,28.0,6.40104515424054,13.416324058711414,13.918162029355708,0.5018379706442939
19,Travis Etienne Jr.,NO,37.1,19,vet,4,66,13.299372549019608,2.6470588235294117,13.416324058711414,11.74653700580229,0.5604159919425199,13.364914045332718,2.5657254701148773,m_deep (market),13.416324058711414,0,,JAX,17.0,14.93529411764706,52.0,0.0950639853747714,,0.6008695652173913,,,,,RB,260.0,0.5316973415132924,17.41176470588235,26.0,6.582947187996208,13.416324058711414,13.416324058711414,0.0
20,Bucky Irving,TB,42.8,20,vet,2,27,14.025490196078431,1.8,12.035856922066072,11.74653700580229,0.6521522103372729,12.727946458670688,2.7677662603880653,m_deep (market),12.035856922066072,0,,TB,10.0,13.85,35.0,0.0646950092421441,,0.6154970760233918,,,,,RB,173.0,0.3665254237288136,20.3,6.0,7.660530072142536,12.035856922066072,12.035856922066072,0.0
21,D'Andre Swift,CHI,44.4,21,vet,6,89,13.651917690152985,2.9076923076923076,12.035856922066072,11.74653700580229,0.5371662970407058,12.783824311566978,2.5119402434091533,m_deep (market),12.035856922066072,0,,CHI,16.0,14.2875,48.0,0.0902255639097744,,0.5782122905027933,,,,,RB,223.0,0.4415841584158416,16.0625,24.0,6.309843786458437,12.035856922066072,12.03585692206607,-1.7763568394002505e-15
22,Quinshon Judkins,CLE,49.8,22,soph,1,14,12.12857142857143,1.0,11.36028003858886,15.4867051194987,0.7388563078845868,11.560914488789392,3.38266902990673,m_deep (market),11.36028003858886,0,single season: n_eff = 1,CLE,14.0,12.12857142857143,36.0,0.0689655172413793,,0.5005537098560354,,,,,RB,230.0,0.5463182897862233,18.285714285714285,18.0,11.442449765890137,11.36028003858886,11.86014001929443,0.4998599807055708
23,Bhayshul Tuten,JAX,51.2,23,soph,1,15,5.906666666666666,1.0,11.36028003858886,15.4867051194987,0.7388563078845868,9.93610330727511,3.38266902990673,m_deep (market),11.36028003858886,0,single season: n_eff = 1,JAX,15.0,5.906666666666666,14.0,0.0255941499085923,,0.2126607319485657,,,,,RB,83.0,0.1697341513292433,6.2,8.0,11.442449765890137,11.36028003858886,11.36028003858886,0.0
24,TreVeyon Henderson,NE,55.7,24,soph,1,17,12.129411764705882,1.0,11.36028003858886,15.4867051194987,0.7388563078845868,11.56113393727016,3.38266902990673,m_deep (market),11.36028003858886,0,single season: n_eff = 1,NE,17.0,12.129411764705882,42.0,0.0871369294605809,,0.4579524680073126,,,,,RB,180.0,0.3643724696356275,12.647058823529411,21.0,11.442449765890137,11.36028003858886,11.36028003858886,0.0
25,Rico Dowdle,PIT,71.3,29,vet,4,51,11.436893704850362,2.4156133828996285,10.925918745824406,11.74653700580229,0.582816547842744,11.139089043196767,2.6165007446642803,m_deep (market),10.925918745824406,4,,CAR,17.0,12.723529411764709,50.0,0.1041666666666666,,0.5570216776625825,,,,,RB,236.0,0.5119305856832972,16.176470588235293,13.0,6.846076146828733,10.925918745824406,10.925918745824406,0.0
26,Chuba Hubbard,CAR,74.7,31,vet,5,74,10.658356621240872,2.8181818181818183,10.925918745824406,11.74653700580229,0.5449304038355045,10.80415935784126,2.5300286864461716,m_deep (market),10.925918745824406,5,,CAR,15.0,8.36,39.0,0.08125,,0.4675324675324675,,,,,RB,134.0,0.2906724511930585,10.933333333333334,7.0,6.40104515424054,10.925918745824406,10.925918745824406,0.0
27,Rhamondre Stevenson,NE,72.2,30,vet,5,70,12.438830306316074,2.8181818181818183,10.925918745824406,11.74653700580229,0.5449304038355045,11.614398798689946,2.5300286864461716,m_deep (market),10.925918745824406,3,,NE,14.0,12.771428571428572,37.0,0.0767634854771784,,0.5935412026726058,,,,,RB,130.0,0.2631578947368421,11.571428571428571,16.0,6.40104515424054,10.925918745824406,10.925918745824406,0.0
28,David Montgomery,HOU,63.6,26,vet,7,105,12.337007432894415,2.953488372093023,10.925918745824406,11.74653700580229,0.5332788983394326,11.584503612394483,2.5028344559234483,m_deep (market),10.925918745824406,-2,,DET,17.0,9.818823529411764,29.0,0.0527272727272727,,0.3712465878070973,,,,,RB,158.0,0.3574660633484163,10.705882352941176,24.0,6.264180313757624,10.925918745824406,11.106734996659526,0.18081625083511987
29,Jaylen Warren,PIT,67.2,28,vet,4,63,11.389503267973856,2.6470588235294117,10.925918745824406,11.74653700580229,0.5604159919425199,11.129703088144272,2.5657254701148773,m_deep (market),10.925918745824406,-1,,PIT,16.0,13.56875,45.0,0.0862068965517241,,0.5,,,,,RB,211.0,0.5184275184275184,15.6875,22.0,6.582947187996208,10.925918745824406,10.925918745824404,-1.7763568394002505e-15
30,Tony Pollard,TEN,63.5,25,vet,7,109,11.819531834538784,2.953488372093023,10.925918745824406,11.74653700580229,0.5332788983394326,11.342986831047485,2.5028344559234483,m_deep (market),10.925918745824406,-5,,TEN,17.0,10.929411764705884,41.0,0.0773584905660377,,0.6221590909090909,,,,,RB,242.0,0.6402116402116402,16.176470588235293,12.0,6.264180313757624,10.925918745824406,10.925918745824404,-1.7763568394002505e-15
31,Jadarian Price,SEA,64.5,27,rookie,0,0,,0.0,10.925918745824406,13.882089022740637,1.0,10.925918745824406,3.725867553032533,m_deep (market),10.925918745824406,-4,no NFL rows: full shrinkage to market,,,,,,,,,,,,RB,,,,,13.882089022740637,10.925918745824406,10.925918745824406,0.0
32,RJ Harvey,DEN,83.1,32,soph,1,17,12.152941176470588,1.0,9.503735633804158,15.4867051194987,0.7388563078845868,10.195558950388689,3.38266902990673,m_deep (market),9.503735633804158,0,single season: n_eff = 1,DEN,17.0,12.152941176470588,58.0,0.0993150684931506,,0.4219298245614035,,,,,RB,146.0,0.3201754385964912,11.352941176470589,14.0,11.442449765890137,9.503735633804158,9.503735633804158,0.0
33,Aaron Jones Sr.,MIN,89.4,33,vet,9,123,11.96022389030332,2.9883040935672516,9.4762971493062,11.74653700580229,0.5303610067165963,10.642846003337812,2.4959778027520705,m_deep (market),9.4762971493062,0,,MIN,12.0,9.891666666666667,41.0,0.0876068376068376,,0.5512048192771084,,,,,RB,132.0,0.3219512195121951,13.333333333333334,6.0,6.229905191831054,9.4762971493062,9.4762971493062,0.0
34,Kenny Gainwell,TB,89.6,34,vet,5,77,9.188789714396924,2.8181818181818183,9.4762971493062,11.74653700580229,0.5449304038355045,9.345461257007749,2.5300286864461716,m_deep (market),9.4762971493062,0,,PIT,17.0,13.01764705882353,85.0,0.1628352490421455,,0.501454898157129,,,,,RB,114.0,0.2800982800982801,11.0,16.0,6.40104515424054,9.4762971493062,9.4762971493062,0.0
35,J.K. Dobbins,DEN,91.4,35,vet,5,47,12.334014291719209,2.734019103600294,9.4762971493062,11.74653700580229,0.5524381960601865,10.755302188714296,2.5473978317961334,m_deep (market),9.4762971493062,0,,DEN,10.0,11.59,14.0,0.023972602739726,,0.5082212257100149,,,,,RB,153.0,0.3355263157894737,16.4,11.0,6.4892357134396415,9.4762971493062,9.4762971493062,0.0
36,Rachaad White,WAS,98.0,36,vet,4,65,10.723812091503268,2.6470588235294117,9.4762971493062,11.74653700580229,0.5604159919425199,10.024684767708782,2.5657254701148773,m_deep (market),9.4762971493062,0,,TB,17.0,8.411764705882353,45.0,0.0831792975970425,,0.5061728395061729,,,,,RB,132.0,0.2796610169491525,10.117647058823527,9.0,6.582947187996208,9.4762971493062,9.4762971493062,0.0
37,Kyle Monangai,CHI,100.1,37,soph,1,16,9.0375,1.0,9.4762971493062,15.4867051194987,0.7388563078845868,9.36170804164666,3.38266902990673,m_deep (market),9.4762971493062,0,single season: n_eff = 1,CHI,17.0,8.629411764705882,30.0,0.056390977443609,,0.41421143847487,,,,,RB,169.0,0.3346534653465347,11.0,18.0,11.442449765890137,9.4762971493062,9.4762971493062,0.0
38,Jonathon Brooks,CAR,112.2,38,vet,1,2,3.9,1.0,8.801446416016189,11.74653700580229,0.7714117015896892,7.681033120029732,3.010218613229311,m_deep (market),8.801446416016189,0,single season: n_eff = 1,,,,,,,,,,,,RB,,,,,9.061416099432195,8.801446416016189,8.801446416016189,0.0
39,Jacory Croskey-Merritt,WAS,113.3,39,soph,1,17,8.25294117647059,1.0,8.801446416016189,15.4867051194987,0.7388563078845868,8.658207732616603,3.38266902990673,m_deep (market),8.801446416016189,0,single season: n_eff = 1,WAS,17.0,8.25294117647059,13.0,0.0300925925925925,,0.3851992409867172,,,,,RB,175.0,0.3615702479338843,10.823529411764708,20.0,11.442449765890137,8.801446416016189,8.801446416016189,0.0
40,Jordan Mason,MIN,122.3,41,vet,4,43,8.030836940836942,2.6470588235294117,8.514685960281549,11.74653700580229,0.5604159919425199,8.301993669019406,2.5657254701148773,m_deep (market),8.514685960281549,1,,MIN,16.0,8.05625,16.0,0.0341880341880341,,0.4361140443505807,,,,,RB,159.0,0.3878048780487805,10.8125,9.0,6.582947187996208,8.514685960281549,8.514685960281549,0.0
41,Blake Corum,LAR,121.7,40,vet,2,29,5.711601307189543,1.8,8.514685960281549,11.74653700580229,0.6521522103372729,7.539639159465983,2.7677662603880653,m_deep (market),8.514685960281549,-1,,LA,17.0,7.188235294117647,14.0,0.0240963855421686,,0.292511013215859,,,,,RB,145.0,0.3118279569892473,9.0,16.0,7.660530072142536,8.514685960281549,8.514685960281547,-1.7763568394002505e-15
42,Tyjae Spears,TEN,126.9,42,vet,3,41,9.145184227537168,2.3333333333333335,8.371889717425432,11.74653700580229,0.5912177543223429,8.687998783839111,2.6352914885520216,m_deep (market),8.371889717425432,0,,TEN,13.0,8.592307692307692,50.0,0.0943396226415094,,0.4600246002460024,,,,,RB,72.0,0.1904761904761904,9.0,5.0,6.94476122963473,8.371889717425432,8.371889717425432,0.0
43,Alvin Kamara,NO,132.8,43,vet,9,126,13.69174066312031,2.9883040935672516,7.491790151433535,11.74653700580229,0.5303610067165963,10.403528668149036,2.4959778027520705,m_deep (market),7.491790151433535,0,,NO,11.0,9.154545454545454,39.0,0.0690265486725663,,0.6303448275862069,,,,,RB,131.0,0.3011494252873563,14.909090909090908,6.0,6.229905191831054,7.491790151433535,7.491790151433535,0.0
44,Zach Charbonnet,SEA,139.1,44,vet,3,49,10.567069327731092,2.3333333333333335,7.491790151433535,11.74653700580229,0.5912177543223429,8.748909679206186,2.6352914885520216,m_deep (market),7.491790151433535,0,,SEA,16.0,11.3375,24.0,0.0527472527472527,,0.4856007944389275,,,,,RB,184.0,0.3629191321499014,12.75,31.0,6.94476122963473,7.491790151433535,7.491790151433535,0.0
45,Woody Marks,HOU,144.7,45,soph,1,16,9.06875,1.0,7.491790151433535,15.4867051194987,0.7388563078845868,7.903603268605945,3.38266902990673,m_deep (market),7.491790151433535,0,single season: n_eff = 1,HOU,16.0,9.06875,36.0,0.0650994575045208,,0.5214611872146119,,,,,RB,196.0,0.4126315789473684,13.75,15.0,11.442449765890137,7.491790151433535,7.491790151433535,0.0
46,Isiah Pacheco,DET,148.9,46,vet,4,50,8.348800366300367,2.6470588235294117,7.491790151433535,11.74653700580229,0.5604159919425199,7.868518136630899,2.5657254701148773,m_deep (market),7.491790151433535,0,,KC,13.0,6.7153846153846155,26.0,0.0473588342440801,,0.5151883353584447,,,,,RB,118.0,0.2744186046511628,10.538461538461538,7.0,6.582947187996208,7.491790151433535,7.491790151433535,0.0
47,Tank Bigsby,PHI,155.6,47,vet,3,35,6.113708513708514,2.3333333333333335,7.491790151433535,11.74653700580229,0.5912177543223429,6.928454844837157,2.6352914885520216,m_deep (market),7.491790151433535,0,,PHI,15.0,3.5866666666666664,4.0,0.0086206896551724,,0.1315042573320719,,,,,RB,63.0,0.1317991631799163,4.4,9.0,6.94476122963473,7.491790151433535,7.491790151433535,0.0
48,Tyrone Tracy Jr.,NYG,156.1,48,vet,2,31,10.940416666666666,1.8,7.491790151433535,11.74653700580229,0.6521522103372729,8.691387262129652,2.7677662603880653,m_deep (market),7.491790151433535,0,,NYG,15.0,10.72,48.0,0.0954274353876739,,0.5474525474525475,,,,,RB,176.0,0.3444227005870841,14.133333333333333,6.0,7.660530072142536,7.491790151433535,7.491790151433534,-8.881784197001252e-16
49,Keaton Mitchell,LAC,157.1,49,vet,3,20,5.228571428571428,2.3333333333333335,7.491790151433535,11.74653700580229,0.5912177543223429,6.566626519442243,2.6352914885520216,m_deep (market),7.491790151433535,0,,BAL,13.0,4.2615384615384615,12.0,0.0294840294840294,,0.1658291457286432,,,,,RB,59.0,0.1163708086785009,5.230769230769231,2.0,6.94476122963473,7.491790151433535,7.491790151433535,0.0
50,Jaydon Blue,DAL,160.2,50,soph,1,5,4.08,1.0,7.491790151433535,15.4867051194987,0.7388563078845868,6.600822674565177,3.38266902990673,m_deep (market),7.491790151433535,0,single season: n_eff = 1,DAL,5.0,4.08,1.0,0.0016474464579901,,0.2508038585209003,,,,,RB,38.0,0.0817204301075268,7.8,2.0,11.442449765890137,7.491790151433535,7.491790151433535,0.0
